PT_CODE	PT_STR	HG_CODE	HG_STR
10047097	Vascular purpura	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10002659	Anovulatory cycle	10013326	Menstrual cycle and uterine bleeding disorders
10034341	Peptic ulcer	10018027	Gastrointestinal ulceration and perforation
10034354	Peptic ulcer perforation	10018027	Gastrointestinal ulceration and perforation
10047715	Von Willebrand's disease	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10047992	Wiskott-Aldrich syndrome	10035534	Platelet disorders
10002832	Antithrombin III deficiency	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10051012	Gastric varices	10018031	Gastrointestinal vascular conditions
10021749	Infantile scurvy	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10022640	Intestinal angina	10018031	Gastrointestinal vascular conditions
10023177	Jejunal ulcer	10018027	Gastrointestinal ulceration and perforation
10013442	Disseminated intravascular coagulation	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10013832	Duodenal perforation	10018027	Gastrointestinal ulceration and perforation
10013935	Dysmenorrhoea	10013326	Menstrual cycle and uterine bleeding disorders
10027401	Mesenteric vascular insufficiency	10018031	Gastrointestinal vascular conditions
10043648	Thrombotic thrombocytopenic purpura	10035534	Platelet disorders
10047623	Vitamin C deficiency	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10009838	Coeliac artery compression syndrome	10018031	Gastrointestinal vascular conditions
10016075	Factor I deficiency	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10016076	Factor II deficiency	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10048930	Factor V deficiency	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10016079	Factor VII deficiency	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10052474	Factor X deficiency	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10016082	Factor XI deficiency	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10016083	Factor XIII deficiency	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10037056	Prothrombin time	10018851	Haematology investigations (incl blood groups)
10038150	Red blood cell count	10018851	Haematology investigations (incl blood groups)
10038787	Reticulocyte count	10018851	Haematology investigations (incl blood groups)
10059775	Russell's viper venom time	10018851	Haematology investigations (incl blood groups)
10019022	Haemorrhoids	10018031	Gastrointestinal vascular conditions
10022680	Intestinal ischaemia	10018031	Gastrointestinal vascular conditions
10036086	Polymenorrhoea	10013326	Menstrual cycle and uterine bleeding disorders
10030201	Oesophageal ulcer	10018027	Gastrointestinal ulceration and perforation
10043539	Thrombin time	10018851	Haematology investigations (incl blood groups)
10002817	Antiphospholipid syndrome	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10043561	Thrombocytopenic purpura	10035534	Platelet disorders
10000531	Acquired afibrinogenaemia	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10002180	Anal ulcer	10018027	Gastrointestinal ulceration and perforation
10057107	Blast cells present	10018851	Haematology investigations (incl blood groups)
10016077	Factor IX deficiency	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10016080	Factor VIII deficiency	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10051806	Factor XII deficiency	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10021309	Ileal ulcer	10018027	Gastrointestinal ulceration and perforation
10021688	Increased tendency to bruise	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10014044	Early menarche	10013326	Menstrual cycle and uterine bleeding disorders
10053076	Haematology test	10018851	Haematology investigations (incl blood groups)
10050539	Mean platelet volume	10018851	Haematology investigations (incl blood groups)
10051298	Protein C deficiency	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10051292	Protein S deficiency	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10038073	Rectal perforation	10018027	Gastrointestinal ulceration and perforation
10038080	Rectal ulcer	10018027	Gastrointestinal ulceration and perforation
10035467	Plasma viscosity	10018851	Haematology investigations (incl blood groups)
10035472	Plasma viscosity normal	10018851	Haematology investigations (incl blood groups)
10035530	Platelet count normal	10018851	Haematology investigations (incl blood groups)
10050927	Platelet distribution width	10018851	Haematology investigations (incl blood groups)
10039662	Schumm's test	10018851	Haematology investigations (incl blood groups)
10066294	Platelet anisocytosis	10035534	Platelet disorders
10066358	Von Willebrand's factor antibody positive	10018851	Haematology investigations (incl blood groups)
10027336	Menstruation delayed	10013326	Menstrual cycle and uterine bleeding disorders
10002582	Anorectal ulcer	10018027	Gastrointestinal ulceration and perforation
10067272	Anal erosion	10018027	Gastrointestinal ulceration and perforation
10041645	Splenic artery aneurysm	10018031	Gastrointestinal vascular conditions
10051010	Duodenal varices	10018031	Gastrointestinal vascular conditions
10067743	Dieulafoy's vascular malformation	10018031	Gastrointestinal vascular conditions
10067325	Coeliac artery stenosis	10018031	Gastrointestinal vascular conditions
10035526	Platelet count abnormal	10018851	Haematology investigations (incl blood groups)
10003506	Aspiration bone marrow abnormal	10018851	Haematology investigations (incl blood groups)
10004738	Biopsy bone marrow abnormal	10018851	Haematology investigations (incl blood groups)
10004798	Biopsy lymph gland abnormal	10018851	Haematology investigations (incl blood groups)
10004886	Biopsy thymus gland abnormal	10018851	Haematology investigations (incl blood groups)
10027118	Megakaryocytes abnormal	10018851	Haematology investigations (incl blood groups)
10067642	Activated protein C resistance test	10018851	Haematology investigations (incl blood groups)
10067648	Activated protein C resistance test positive	10018851	Haematology investigations (incl blood groups)
10067787	Coagulation factor deficiency	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10067786	Haemorrhagic erosive gastritis	10018027	Gastrointestinal ulceration and perforation
10003505	Aspiration bone marrow	10018851	Haematology investigations (incl blood groups)
10003507	Aspiration bone marrow normal	10018851	Haematology investigations (incl blood groups)
10004737	Biopsy bone marrow	10018851	Haematology investigations (incl blood groups)
10004739	Biopsy bone marrow normal	10018851	Haematology investigations (incl blood groups)
10068229	Anti factor VIII antibody test	10018851	Haematology investigations (incl blood groups)
10004797	Biopsy lymph gland	10018851	Haematology investigations (incl blood groups)
10004799	Biopsy lymph gland normal	10018851	Haematology investigations (incl blood groups)
10004887	Biopsy thymus gland normal	10018851	Haematology investigations (incl blood groups)
10004885	Biopsy thymus gland	10018851	Haematology investigations (incl blood groups)
10002244	Anastomotic ulcer haemorrhage	10018027	Gastrointestinal ulceration and perforation
10002250	"Anastomotic ulcer, obstructive"	10018027	Gastrointestinal ulceration and perforation
10002248	Anastomotic ulcer perforation	10018027	Gastrointestinal ulceration and perforation
10017928	Gastrointestinal angiodysplasia	10018031	Gastrointestinal vascular conditions
10017929	Gastrointestinal angiodysplasia haemorrhagic	10018031	Gastrointestinal vascular conditions
10035468	Plasma viscosity abnormal	10018851	Haematology investigations (incl blood groups)
10003012	Appendicitis perforated	10018027	Gastrointestinal ulceration and perforation
10027395	Mesenteric artery embolism	10018031	Gastrointestinal vascular conditions
10027396	Mesenteric artery stenosis	10018031	Gastrointestinal vascular conditions
10035514	Platelet adhesiveness decreased	10018851	Haematology investigations (incl blood groups)
10035515	Platelet adhesiveness increased	10018851	Haematology investigations (incl blood groups)
10068370	Acquired protein S deficiency	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10005104	Bleeding anovulatory	10013326	Menstrual cycle and uterine bleeding disorders
10027119	Megakaryocytes decreased	10018851	Haematology investigations (incl blood groups)
10035540	Platelet production decreased	10035534	Platelet disorders
10037557	Purpura neonatal	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10043557	Thrombocytopenia neonatal	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10009775	Coagulation factor X level decreased	10018851	Haematology investigations (incl blood groups)
10009779	Coagulation factor XI level decreased	10018851	Haematology investigations (incl blood groups)
10009783	Coagulation factor XII level decreased	10018851	Haematology investigations (incl blood groups)
10009787	Coagulation factor XIII level decreased	10018851	Haematology investigations (incl blood groups)
10009770	Coagulation factor VIII level increased	10018851	Haematology investigations (incl blood groups)
10019008	Haemorrhagic disease of newborn	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10019009	Haemorrhagic disorder	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10019009	Haemorrhagic disorder	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10009776	Coagulation factor X level increased	10018851	Haematology investigations (incl blood groups)
10009780	Coagulation factor XI level increased	10018851	Haematology investigations (incl blood groups)
10009784	Coagulation factor XII level increased	10018851	Haematology investigations (incl blood groups)
10009788	Coagulation factor XIII level increased	10018851	Haematology investigations (incl blood groups)
10009773	Coagulation factor X level	10018851	Haematology investigations (incl blood groups)
10009777	Coagulation factor XI level	10018851	Haematology investigations (incl blood groups)
10009781	Coagulation factor XII level	10018851	Haematology investigations (incl blood groups)
10009785	Coagulation factor XIII level	10018851	Haematology investigations (incl blood groups)
10035528	Platelet count decreased	10018851	Haematology investigations (incl blood groups)
10027120	Megakaryocytes increased	10018851	Haematology investigations (incl blood groups)
10027131	Megaloblasts increased	10018851	Haematology investigations (incl blood groups)
10016579	Fibrin D dimer decreased	10018851	Haematology investigations (incl blood groups)
10016581	Fibrin D dimer increased	10018851	Haematology investigations (incl blood groups)
10016583	Fibrin D dimer normal	10018851	Haematology investigations (incl blood groups)
10035490	Plasmin inhibitor decreased	10018851	Haematology investigations (incl blood groups)
10035470	Plasma viscosity decreased	10018851	Haematology investigations (incl blood groups)
10037066	Prothrombin time ratio decreased	10018851	Haematology investigations (incl blood groups)
10016589	Fibrin degradation products normal	10018851	Haematology investigations (incl blood groups)
10035531	Platelet destruction increased	10035534	Platelet disorders
10017829	"Gastric ulcer haemorrhage, obstructive"	10018027	Gastrointestinal ulceration and perforation
10017826	Gastric ulcer haemorrhage	10018027	Gastrointestinal ulceration and perforation
10017836	"Gastric ulcer perforation, obstructive"	10018027	Gastrointestinal ulceration and perforation
10017840	"Gastric ulcer, obstructive"	10018027	Gastrointestinal ulceration and perforation
10017815	Gastric perforation	10018027	Gastrointestinal ulceration and perforation
10017835	Gastric ulcer perforation	10018027	Gastrointestinal ulceration and perforation
10030202	Oesophageal ulcer haemorrhage	10018027	Gastrointestinal ulceration and perforation
10038081	Rectal ulcer haemorrhage	10018027	Gastrointestinal ulceration and perforation
10013839	Duodenal ulcer haemorrhage	10018027	Gastrointestinal ulceration and perforation
10013850	"Duodenal ulcer perforation, obstructive"	10018027	Gastrointestinal ulceration and perforation
10013855	"Duodenal ulcer, obstructive"	10018027	Gastrointestinal ulceration and perforation
10013849	Duodenal ulcer perforation	10018027	Gastrointestinal ulceration and perforation
10013865	Duodenitis haemorrhagic	10018027	Gastrointestinal ulceration and perforation
10043563	Thrombocytosis	10035534	Platelet disorders
10069440	Henoch-Schonlein purpura nephritis	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10017886	Gastroduodenal ulcer	10018027	Gastrointestinal ulceration and perforation
10034344	Peptic ulcer haemorrhage	10018027	Gastrointestinal ulceration and perforation
10021085	Hypoprothrombinaemia	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10021305	Ileal perforation	10018027	Gastrointestinal ulceration and perforation
10021310	Ileal ulcer perforation	10018027	Gastrointestinal ulceration and perforation
10022657	Intestinal infarction	10018031	Gastrointestinal vascular conditions
10070599	Acute haemorrhagic oedema of infancy	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10023799	Large intestinal ulcer	10018027	Gastrointestinal ulceration and perforation
10022714	Intestinal ulcer	10018027	Gastrointestinal ulceration and perforation
10023174	Jejunal perforation	10018027	Gastrointestinal ulceration and perforation
10023178	Jejunal ulcer perforation	10018027	Gastrointestinal ulceration and perforation
10027399	Mesenteric occlusion	10018031	Gastrointestinal vascular conditions
10027402	Mesenteric vein thrombosis	10018031	Gastrointestinal vascular conditions
10027402	Mesenteric vein thrombosis	10018031	Gastrointestinal vascular conditions
10017886	Gastroduodenal ulcer	10018027	Gastrointestinal ulceration and perforation
10037557	Purpura neonatal	10035534	Platelet disorders
10043557	Thrombocytopenia neonatal	10035534	Platelet disorders
10030181	Oesophageal perforation	10018027	Gastrointestinal ulceration and perforation
10042220	Stress ulcer	10018027	Gastrointestinal ulceration and perforation
10047027	Varicose veins sublingual	10018031	Gastrointestinal vascular conditions
10035491	Plasmin inhibitor increased	10018851	Haematology investigations (incl blood groups)
10035495	Plasminogen increased	10018851	Haematology investigations (incl blood groups)
10037068	Prothrombin time ratio increased	10018851	Haematology investigations (incl blood groups)
10034358	"Peptic ulcer perforation, obstructive"	10018027	Gastrointestinal ulceration and perforation
10034365	"Peptic ulcer, obstructive"	10018027	Gastrointestinal ulceration and perforation
10034359	Peptic ulcer reactivated	10018027	Gastrointestinal ulceration and perforation
10027339	Menstruation irregular	10013326	Menstrual cycle and uterine bleeding disorders
10037052	Prothrombin level normal	10018851	Haematology investigations (incl blood groups)
10069098	Cutaneovisceral angiomatosis with thrombocytopenia	10035534	Platelet disorders
10069098	Cutaneovisceral angiomatosis with thrombocytopenia	10018031	Gastrointestinal vascular conditions
10068925	Anorectal varices haemorrhage	10018031	Gastrointestinal vascular conditions
10068924	Anorectal varices	10018031	Gastrointestinal vascular conditions
10069495	Acquired Von Willebrand's disease	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10071252	Haemorrhagic vasculitis	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10039664	Schumm's test negative	10018851	Haematology investigations (incl blood groups)
10035496	Plasminogen normal	10018851	Haematology investigations (incl blood groups)
10039666	Schumm's test positive	10018851	Haematology investigations (incl blood groups)
10068788	Sticky platelet syndrome	10035534	Platelet disorders
10068981	Von Willebrand's factor antigen decreased	10018851	Haematology investigations (incl blood groups)
10068983	Von Willebrand's factor activity abnormal	10018851	Haematology investigations (incl blood groups)
10068989	Von Willebrand's factor antigen abnormal	10018851	Haematology investigations (incl blood groups)
10069886	Omental infarction	10018031	Gastrointestinal vascular conditions
10070181	Gastrointestinal vascular malformation	10018031	Gastrointestinal vascular conditions
10051608	Platelet count increased	10035534	Platelet disorders
10068793	Anti-erythropoietin antibody negative	10018851	Haematology investigations (incl blood groups)
10068984	Von Willebrand's factor activity normal	10018851	Haematology investigations (incl blood groups)
10069195	Abnormal withdrawal bleeding	10013326	Menstrual cycle and uterine bleeding disorders
10068982	Von Willebrand's factor antigen normal	10018851	Haematology investigations (incl blood groups)
10068987	Von Willebrand's factor activity increased	10018851	Haematology investigations (incl blood groups)
10068988	Von Willebrand's factor antigen test	10018851	Haematology investigations (incl blood groups)
10068985	Von Willebrand's factor activity test	10018851	Haematology investigations (incl blood groups)
10068986	Von Willebrand's factor activity decreased	10018851	Haematology investigations (incl blood groups)
10070506	Idiopathic mesenteric phlebosclerosis	10018031	Gastrointestinal vascular conditions
10049251	Heyde's syndrome	10018031	Gastrointestinal vascular conditions
10049098	Oesophagitis ulcerative	10018027	Gastrointestinal ulceration and perforation
10043563	Thrombocytosis	10018851	Haematology investigations (incl blood groups)
10050935	Megakaryocytes normal	10018851	Haematology investigations (incl blood groups)
10057739	Purpura non-thrombocytopenic	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10058518	Hypothromboplastinaemia	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10071719	Thrombocytopenia-absent radius syndrome	10035534	Platelet disorders
10071502	Intestinal varices	10018031	Gastrointestinal vascular conditions
10051125	Hypofibrinogenaemia	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10058517	Hypothrombinaemia	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10069945	Megakaryocyte destruction increased	10035534	Platelet disorders
10052473	Factor III deficiency	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10051541	Haemorrhoid infection	10018031	Gastrointestinal vascular conditions
10037549	Purpura	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10049013	Anti factor VIII antibody positive	10018851	Haematology investigations (incl blood groups)
10048681	Anti-erythropoietin antibody positive	10018851	Haematology investigations (incl blood groups)
10049411	Anti-prothrombin antibody positive	10018851	Haematology investigations (incl blood groups)
10052211	Oesophageal rupture	10018027	Gastrointestinal ulceration and perforation
10052488	Oesophageal ulcer perforation	10018027	Gastrointestinal ulceration and perforation
10049184	Red blood cell sedimentation rate	10018851	Haematology investigations (incl blood groups)
10049186	Red blood cell sedimentation rate abnormal	10018851	Haematology investigations (incl blood groups)
10049188	Red blood cell sedimentation rate decreased	10018851	Haematology investigations (incl blood groups)
10049187	Red blood cell sedimentation rate increased	10018851	Haematology investigations (incl blood groups)
10049408	Red blood cell sedimentation rate normal	10018851	Haematology investigations (incl blood groups)
10071024	Platelet glycoprotein gene mutation	10035534	Platelet disorders
10053745	Acquired haemophilia	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10051115	Antithrombin III increased	10018851	Haematology investigations (incl blood groups)
10050648	Blood erythropoietin	10018851	Haematology investigations (incl blood groups)
10050671	Blood erythropoietin abnormal	10018851	Haematology investigations (incl blood groups)
10050670	Blood erythropoietin normal	10018851	Haematology investigations (incl blood groups)
10050188	Duodenal scarring	10018027	Gastrointestinal ulceration and perforation
10054787	Haemorrhoidal haemorrhage	10018031	Gastrointestinal vascular conditions
10051348	Gastric ulcer helicobacter	10018027	Gastrointestinal ulceration and perforation
10050661	Platelet aggregation inhibition	10035534	Platelet disorders
10051120	Protein S decreased	10018851	Haematology investigations (incl blood groups)
10071477	Anti-complement antibody	10018851	Haematology investigations (incl blood groups)
10053502	Scan bone marrow	10018851	Haematology investigations (incl blood groups)
10053504	Scan bone marrow abnormal	10018851	Haematology investigations (incl blood groups)
10053503	Scan bone marrow normal	10018851	Haematology investigations (incl blood groups)
10057477	Bone marrow myelogram	10018851	Haematology investigations (incl blood groups)
10057528	Bone marrow myelogram abnormal	10018851	Haematology investigations (incl blood groups)
10057527	Bone marrow myelogram normal	10018851	Haematology investigations (incl blood groups)
10055668	Necrotising oesophagitis	10018027	Gastrointestinal ulceration and perforation
10056496	"Acquired haemophilia with anti FVIII, XI, or XIII"	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10056743	Gastrointestinal ulcer haemorrhage	10018027	Gastrointestinal ulceration and perforation
10056492	Haemophilia A with anti factor VIII	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10056493	Haemophilia A without inhibitors	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10056494	Haemophilia B with anti factor IX	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10056495	Haemophilia B without inhibitors	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10017932	Gastrointestinal arteriovenous malformation	10018031	Gastrointestinal vascular conditions
10059028	Gastrointestinal ischaemia	10018031	Gastrointestinal vascular conditions
10058423	Haemangioma-thrombocytopenia syndrome	10035534	Platelet disorders
10071465	Anti-thrombin antibody	10018851	Haematology investigations (incl blood groups)
10051293	Blood viscosity increased	10018851	Haematology investigations (incl blood groups)
10059221	Biopsy spleen	10018851	Haematology investigations (incl blood groups)
10059227	Biopsy spleen abnormal	10018851	Haematology investigations (incl blood groups)
10059226	Biopsy spleen normal	10018851	Haematology investigations (incl blood groups)
10059798	Preduodenal portal vein	10018031	Gastrointestinal vascular conditions
10051608	Platelet count increased	10018851	Haematology investigations (incl blood groups)
10051736	Protein S abnormal	10018851	Haematology investigations (incl blood groups)
10051735	Protein S increased	10018851	Haematology investigations (incl blood groups)
10051737	Protein S normal	10018851	Haematology investigations (incl blood groups)
10062506	Heparin-induced thrombocytopenia	10035534	Platelet disorders
10022694	Intestinal perforation	10018027	Gastrointestinal ulceration and perforation
10051391	Thrombin time shortened	10018851	Haematology investigations (incl blood groups)
10053796	Blood erythropoietin decreased	10018851	Haematology investigations (incl blood groups)
10053795	Blood erythropoietin increased	10018851	Haematology investigations (incl blood groups)
10061992	Haemophilia	10064477	Coagulopathies and bleeding diatheses (excl thrombocytopenic)
10053627	Circulating anticoagulant	10018851	Haematology investigations (incl blood groups)
10053627	Circulating anticoagulant	10018851	Haematology investigations (incl blood groups)
10054836	Lactescent serum	10018851	Haematology investigations (incl blood groups)
10053970	Thrombin-antithrombin III complex	10018851	Haematology investigations (incl blood groups)
10053972	Thrombin-antithrombin III complex abnormal	10018851	Haematology investigations (incl blood groups)
10053969	Thrombin-antithrombin III complex decreased	10018851	Haematology investigations (incl blood groups)
10053968	Thrombin-antithrombin III complex increased	10018851	Haematology investigations (incl blood groups)
10053971	Thrombin-antithrombin III complex normal	10018851	Haematology investigations (incl blood groups)
10018001	Gastrointestinal perforation	10018027	Gastrointestinal ulceration and perforation
10041103	Small intestinal perforation	10018027	Gastrointestinal ulceration and perforation
10023804	Large intestine perforation	10018027	Gastrointestinal ulceration and perforation
10041133	Small intestine ulcer	10018027	Gastrointestinal ulceration and perforation
10055165	Von Willebrand's factor multimers abnormal	10018851	Haematology investigations (incl blood groups)
10055170	Von Willebrand's factor multimers normal	10018851	Haematology investigations (incl blood groups)
10057136	Blast cells absent	10018851	Haematology investigations (incl blood groups)
10061820	Diverticular perforation	10018027	Gastrointestinal ulceration and perforation
10060709	Gastrointestinal erosion	10018027	Gastrointestinal ulceration and perforation
10061975	Gastrointestinal ulcer perforation	10018027	Gastrointestinal ulceration and perforation
10061248	Intestinal ulcer perforation	10018027	Gastrointestinal ulceration and perforation
10061262	Large intestinal ulcer haemorrhage	10018027	Gastrointestinal ulceration and perforation
10056290	Glutathione decreased	10018851	Haematology investigations (incl blood groups)
10057755	Haematology test abnormal	10018851	Haematology investigations (incl blood groups)
10057756	Haematology test normal	10018851	Haematology investigations (incl blood groups)
10056344	Menstrual discomfort	10013326	Menstrual cycle and uterine bleeding disorders
10061550	Small intestinal ulcer haemorrhage	10018027	Gastrointestinal ulceration and perforation
10062363	Truncus coeliacus thrombosis	10018031	Gastrointestinal vascular conditions
10058748	Anti factor IX antibody positive	10018851	Haematology investigations (incl blood groups)
10058745	Anti factor V antibody positive	10018851	Haematology investigations (incl blood groups)
10058746	Anti factor VII antibody positive	10018851	Haematology investigations (incl blood groups)
10058747	Anti factor X antibody positive	10018851	Haematology investigations (incl blood groups)
10058749	Anti factor XI antibody positive	10018851	Haematology investigations (incl blood groups)
10058750	Anti factor XII antibody positive	10018851	Haematology investigations (incl blood groups)
10058896	Congenital thrombocyte disorder	10035534	Platelet disorders
10059023	Glutathione test	10018851	Haematology investigations (incl blood groups)
10061949	Lymph nodes scan abnormal	10018851	Haematology investigations (incl blood groups)
10061950	Lymph nodes scan normal	10018851	Haematology investigations (incl blood groups)
10061504	Scan lymph nodes	10018851	Haematology investigations (incl blood groups)
10061506	Scan spleen	10018851	Haematology investigations (incl blood groups)
10062143	Spleen scan normal	10018851	Haematology investigations (incl blood groups)
10059619	Plasminogen activator inhibitor decreased	10018851	Haematology investigations (incl blood groups)
10059618	Plasminogen activator inhibitor increased	10018851	Haematology investigations (incl blood groups)
10060220	Platelet factor 4 decreased	10018851	Haematology investigations (incl blood groups)
10060219	Platelet factor 4 increased	10018851	Haematology investigations (incl blood groups)
10059440	Platelet toxicity	10035534	Platelet disorders
10060230	Protein C increased	10018851	Haematology investigations (incl blood groups)
10059759	Russell's viper venom time abnormal	10018851	Haematology investigations (incl blood groups)
10059758	Russell's viper venom time normal	10018851	Haematology investigations (incl blood groups)
10061684	Platelet function test	10018851	Haematology investigations (incl blood groups)
10060824	Plasminogen	10018851	Haematology investigations (incl blood groups)
10061459	Gastrointestinal ulcer	10018027	Gastrointestinal ulceration and perforation
10062142	Spleen scan abnormal	10018851	Haematology investigations (incl blood groups)
10001928	Amenorrhoea	10013326	Menstrual cycle and uterine bleeding disorders
10062532	Erosive duodenitis	10018027	Gastrointestinal ulceration and perforation
10017865	Gastritis erosive	10018027	Gastrointestinal ulceration and perforation
10030295	Oligomenorrhoea	10013326	Menstrual cycle and uterine bleeding disorders
10035532	Platelet disorder	10035534	Platelet disorders
10037048	Prothrombin level abnormal	10018851	Haematology investigations (incl blood groups)
10047998	Withdrawal bleed	10013326	Menstrual cycle and uterine bleeding disorders
10027327	Menstrual disorder	10013326	Menstrual cycle and uterine bleeding disorders
10061726	Blood test	10018851	Haematology investigations (incl blood groups)
10056091	Varices oesophageal	10018031	Gastrointestinal vascular conditions
10061774	Coagulation factor X level abnormal	10018851	Haematology investigations (incl blood groups)
10061775	Coagulation factor XI level abnormal	10018851	Haematology investigations (incl blood groups)
